No,Lokasi,Kecamatan,Tipe Hunian,Kondisi,Luas Tanah,Luas Bangunan,Kepemilikan,Lebar Jalan,Jumlah Lantai,Jumlah KT,Jumlah KM,Garasi,Daya Listrik,Rooftop,Sumber Air,Tipe Furnish,Harga
319,DEPOK,TAPOS,LANDED HOUSE,BEKAS,90,54,SHM,5,2,2,1,ADA,1300,TIDAK,PDAM,SEMI FURNISHED,890000000
320,JAKARTA BARAT,GROGOL PETAMBURAN,LANDED HOUSE,BEKAS,235,375,SHM,6,2,6,4,ADA,2200,ADA,PDAM,SEMI FURNISHED,7500000000
321,TASIKMALAYA,MANGKUBUMI,LANDED HOUSE,BEKAS,164,120,SHM,4,1,2,1,TIDAK,2200,TIDAK,PAM,SEMI FURNISHED,750000000
322,GARUT,TAROGONG KIDUL,LANDED HOUSE,BEKAS,154,120,SHM,3,2,4,2,ADA,1300,TIDAK,PDAM,NON FURNISHED,599000000
323,GARUT,KADUNGORA,LANDED HOUSE,BEKAS,1708,600,SHM,5,2,6,6,ADA,2200,TIDAK,SUMUR BOR,FULL FURNISHED,8500000000
324,GARUT,BAYONGBONG,LANDED HOUSE,BEKAS,570,120,SHM,4,1,4,1,ADA,1300,TIDAK,SUMUR BOR,SEMI FURNISHED,1000000000
325,GARUT,GARUT KOTA,LANDED HOUSE,BEKAS,1200,500,SHM,4,1,10,8,ADA,2200,TIDAK,PDAM,NON FURNISHED,19000000000
326,GARUT,WANARAJA,LANDED HOUSE,BARU,60,36,SHM,4,1,2,1,ADA,900,TIDAK,SUMUR BOR,NON FURNISHED,110000000
327,TASIKMALAYA,TAWANG,LANDED HOUSE,BEKAS,108,70,SHM,5,1,3,2,ADA,1300,TIDAK,PDAM,SEMI FURNISHED,900000000
328,TASIKMALAYA,CIHIDEUNG,LANDED HOUSE,BEKAS,448,400,SHM,4,1,5,3,TIDAK,2200,TIDAK,SUMUR BOR,NON FURNISHED,3500000000
329,GARUT,SAMARANG,LANDED HOUSE,BEKAS,630,290,SHM,3,1,5,2,ADA,1300,TIDAK,SUMUR BOR,NON FURNISHED,800000000
330,KARAWANG,KARAWANG TIMUR,LANDED HOUSE,BEKAS,193,193,SHM,6,2,7,4,ADA,10600,TIDAK,PDAM,SEMI FURNISHED,1600000000
331,KOTA BANDUNG,LENGKONG,LANDED HOUSE,BEKAS,190,230,SHM,-,2,5,3,ADA,3500W,TIDAK,PDAM,NON FURNISHED, 5500000000
332,KOTA BANDUNG,PASTEUR,LANDED HOUSE,BEKAS,300,520,SHM,-,2,6,4,ADA,3500W,TIDAK,PDAM,NON FURNISHED, 4000000000
333,KOTA BANDUNG,MARGACINTA,LANDED HOUSE,BEKAS,40,22,SHM,-,2,2,1,ADA,900W,TIDAK,PDAM,NON FURNISHED, 175000000
334,KOTA BANDUNG,BUAHBATU,LANDED HOUSE,BEKAS,40,30,SHM,-,1,2,1,ADA,900W,TIDAK,PDAM,NON FURNISHED, 222000000
335,KOTA BANDUNG,CICENDO,APARTEMENT,BEKAS,93,93,SHM,-,1,3,1,ADA,1300W,TIDAK,PDAM,NON FURNISHED, 2000000000
336,KOTA BANDUNG,CIDADAP,APARTEMENT,BEKAS,45,45,SHM,-,1,1,1,ADA,1300W,TIDAK,PDAM,SEMI FURNISHED, 1200000000
337,KOTA BANDUNG,TURANGGA,LANDED HOUSE,BEKAS,448,250,SHM,-,2,4,3,ADA,3300W,ADA,PDAM & PAM,NON FURNISHED, 5000000000
338,KOTA BANDUNG,DAGO,LANDED HOUSE,BEKAS,775,800,SHM,20,3,8,8,ADA,3500W,ADA,PDAM,NON FURNISHED, 30000000000
339,KABUPATEN BANDUNG,ARJASARI,LANDED HOUSE,BARU,60,30,SHM,-,1,2,1,ADA,1300W,TIDAK,PDAM,NON FURNISHED, 180000000
340,KABUPATEN BANDUNG,CIHAMPELAS,LANDED HOUSE,BEKAS,96,45,SHM,-,1,2,1,ADA,900W,TIDAK,JET PUMP,NON FURNISHED, 350000000
341,KABUPATEN BANDUNG,BALEENDAH,LANDED HOUSE,BEKAS,84,76,SHM,-,2,2,2,ADA,1300W,TIDAK,JET PUMP,NON FURNISHED, 360000000
342,KABUPATEN BANDUNG,NGAMPRAH,LANDED HOUSE,BARU,60,50,SHM & PBG,-,2,2,1,ADA,1300W,TIDAK,PDAM,NON FURNISHED, 554000000
343,KABUPATEN BANDUNG,CIMAUNG,LANDED HOUSE,BEKAS,154,280,SHM,-,2,4,4,ADA,1300W,TIDAK,PDAM,FULL FURNISHED, 1200000000
344,KOTA BANDUNG,DAGO,APARTEMENT,BEKAS,100,100,SHM,-,1,3,3,ADA,3500W,TIDAK,PDAM,FULL FURNISHED, 3800000000
345,KOTA BANDUNG,CICENDO,APARTEMENT,BEKAS,93,93,SHM,-,1,3,2,ADA,1300W,TIDAK,PDAM,SEMI FURNISHED, 2000000000
346,KOTA BANDUNG,ANTAPANI,LANDED HOUSE,BARU,150,202,SHM,-,2,2,3,ADA,3500W,ADA,PDAM,FULL FURNISHED, 1300000000
347,KOTA BANDUNG,PASTEUR,LANDED HOUSE,BARU,520,420,SHM,-,3,2,1,ADA,1300W,ADA,PDAM,FULL FURNISHED, 3600000000
348,KOTA BANDUNG,MARGACINTA,APARTEMENT,BEKAS,60,45,SHM,-,1,2,3,ADA,900W,TIDAK,PDAM,NON FURNISHED, 554000000
349,KOTA BANDUNG,CIMAUNG,APARTEMENT,BARU,45,45,SHM,-,,,,,1300W,TIDAK,PDAM,SEMI FURNISHED,
350,KOTA BANDUNG,ANTAPANI,LANDED HOUSE,BEKAS,175,120,SHM,20,2,2,1,ADA,3000W,TIDAK,PDAM,SEMI FURNISHED, 760000000
351,KOTA BANDUNG,CIMAUNG,LANDED HOUSE,BEKAS,210,200,SHM,-,1,1,2,ADA,1300W,TIDAK,PDAM,NON FURNISHED, 1200000000
352,KOTA BANDUNG,DAGO,APARTEMENT,BARU,180,180,SHM,-,2,1,3,ADA,3500W,TIDAK,PDAM,SEMI FURNISHED, 970000000
353,KOTA BANDUNG,MARGACINTA,LANDED HOUSE,BEKAS,310,290,SHM,-,4,1,2,ADA,1300W,ADA,PDAM,FULL FURNISHED, 2200000000
354,KOTA BANDUNG,CIDADAP,LANDED HOUSE,BARU,220,150,SHM,-,1,1,3,ADA,3500W,TIDAK,PDAM,SEMI FURNISHED, 721000000
355,KOTA BANDUNG,TURANGGA,LANDED HOUSE,BARU,260,144,SHM,-,2,1,4,ADA,3300W,TIDAK,PDAM,SEMI FURNISHED, 600000000
356,KOTA BANDUNG,CIHAMPELAS,LANDED HOUSE,BEKAS,114,100,SHM,-,2,2,2,ADA,1300W,ADA,PDAM,NON FURNISHED, 455000000
357,KOTA BANDUNG,LENGKONG,APARTEMENT,BARU,22,22,SHM,-,1,4,3,ADA,3300W,TIDAK,PDAM,NON FURNISHED, 320000000
358,KOTA BANDUNG,CIDADAP,LANDED HOUSE,BEKAS,200,160,SHM,-,3,2,1,ADA,1300W,ADA,PDAM,NON FURNISHED, 880000000
359,KOTA BANDUNG,CIMAUNG,LANDED HOUSE,BEKAS,120,120,SHM,-,1,2,1,ADA,3300W,TIDAK,PDAM,SEMI FURNISHED, 1200000000
360,KOTA BANDUNG,CIHAMPELAS,LANDED HOUSE,BEKAS,210,190,SHM,-,1,1,2,ADA,1300W,TIDAK,PDAM,FULL FURNISHED, 2000000000
361,KOTA BANDUNG,COBLONG,LANDED HOUSE,BEKAS,311,465,SHM,4,2,5,5,ADA,3300,TIDAK,SUMUR BOR,NON FURNISHED,7800000000
362,KOTA CIMAHI,CIMAHI UTARA,LANDED HOUSE,BEKAS,407,150,SHM,4,1,3,2,ADA,2200,TIDAK,PAM,FULL FURNISHED,8500000000
363,KOTA BANDUNG,ASTANAANYAR,LANDED HOUSE,BEKAS,75,140,SHM,4,2,4,3,ADA,2200,ADA,KOMBINASI,SEMI FURNISHED,1650000000
364,KOTA BANDUNG,BUAH BATU,LANDED HOUSE,BEKAS,72,50,SHGB,4,2,3,2,ADA,2200,TIDAK,SUMUR BOR,NON FURNISHED,1900000000
365,KOTA BANDUNG,CIBADUYUT,LANDED HOUSE,BEKAS,570,925,SHM,4,2,7,4,ADA,4400,TIDAK,PAM,FULL FURNISHED,4999000000
366,KOTA BANDUNG,SARIJADI,LANDED HOUSE,BARU,127,160,SHGB,4,2,5,4,ADA,3500,TIDAK,SUMUR BOR,NON FURNISHED,2850000000
367,KOTA BANDUNG,MARGASARI,LANDED HOUSE,BARU,120,200,SHM,4,2,4,3,ADA,2200,TIDAK,SUMUR BOR,FULL FURNISHED,1750000000
368,KOTA BANDUNG,ANTAPANI,LANDED HOUSE,BEKAS,90,88,SHM,4,2,3,3,ADA,2200,TIDAK,SUMUR BOR,FULL FURNISHED,1400000000
369,KOTA BANDUNG,SETIABUDI,LANDED HOUSE,BEKAS,400,200,SHM,4,2,5,4,ADA,2200,TIDAK,SUMUR BOR,FULL FURNISHED,3500000000
370,KOTA BANDUNG,BATUNUNGGAL,LANDED HOUSE,BARU,180,202,SHGB,6,2,4,3,ADA,2200,TIDAK,SUMUR BOR,NON FURNISHED,3950000000
371,KABUPATEN BANDUNG,BALEENDAH,LANDED HOUSE,BARU,60,65,AJB,6,2,3,2,ADA,2200,TIDAK,SUMUR BOR,FULL FURNISHED,788000000
372,KABUPATEN BANDUNG,BALEENDAH,LANDED HOUSE,BARU,60,72,AJB,6,2,3,2,ADA,2200,TIDAK,SUMUR BOR,FULL FURNISHED,835000000
373, KABUPATEN BANDUNG,BALEENDAH,LANDED HOUSE,BARU,73,93,AJB,6,2,4,3,ADA,2200,TIDAK,SUMUR BOR,FULL FURNISHED,1090000000
374,KABUPATEN BANDUNG,BALEENDAH,LANDED HOUSE,BARU,115,138,AJB,6,2,5,4,ADA,2200,TIDAK,SUMUR BOR,FULL FURNISHED,1680000000
375,KABUPATEN BANDUNG,BALEENDAH,LANDED HOUSE,BARU,80,138,AJB,6,3,2,2,ADA,2200,TIDAK,SUMUR BOR,FULL FURNISHED,1410000000
376,KOTA SEMARANG,TEMBALANG,LANDED HOUSE,BARU,134,67,AJB,4,2,3,2,ADA,2200,TIDAK,PDAM,FULL FURNISHED,1690000000
377,KOTA SEMARANG,TEMBALANG,LANDED HOUSE,BARU,105,100,AJB,4,2,4,3,ADA,2200,TIDAK,PDAM,FULL FURNISHED,1630000000
378,KOTA SEMARANG,TEMBALANG,LANDED HOUSE,BARU,128,102,AJB,4,2,4,3,ADA,2200,TIDAK,PDAM,FULL FURNISHED,1850000000
379, KOTA SEMARANG,TEMBALANG,LANDED HOUSE,BARU,84,65,AJB,4,2,3,2,ADA,2200,TIDAK,PDAM,FULL FURNISHED,1230000000
380, KOTA SEMARANG,TEMBALANG,LANDED HOUSE,BARU,72,56,AJB,4,2,3,2,ADA,2200,TIDAK,PDAM,FULL FURNISHED,1080000000
381,KABUPATEN BANDUNG,BOJONGSOANG,LANDED HOUSE,BARU,96,94,SHM,4,2,2,2,ADA,3500,TIDAK,PDAM,NON FURNISHED,2390000000
382,KOTA BANDUNG,LENGKONG,LANDED HOUSE,BEKAS,448,250,SHM,4,2,5,4,ADA,3500,TIDAK,PDAM,SEMI FURNISHED,5000000000
383,KOTA BANDUNG,COBLONG,LANDED HOUSE,BEKAS,462,350,SHM,4,2,5,4,ADA,4400,TIDAK,PDAM,FULL FURNISHED,4950000000
384,KOTA BANDUNG,CIDADAP,APARTEMENTT,BEKAS,45,45,STRATA,4,1,2,1,ADA,1300,TIDAK,PDAM,SEMI FURNISHED,1200000000
385,KOTA JAKARTA BARAT,KEMBANGAN,APARTEMENTT,BARU,192,192,STRATA,4,1,4,4,ADA,5500,TIDAK,PDAM,SEMI FURNISHED,5500000000
386,KOTA BANDUNG,CIDADAP,APARTEMENTT,BEKAS,48,48,STRATA,4,1,2,1,ADA,2200,TIDAK,PDAM,FULL FURNISHED,700000000
387,KOTA BANDUNG,CIDADAP,APARTEMENTT,BARU,123,123,STRATA,4,1,3,2,ADA,6600,TIDAK,PDAM,FULL FURNISHED,3750000000
388,KOTA BANDUNG,SUMUR BANDUNG,APARTEMENTT,BARU,35,35,STRATA,4,1,1,1,ADA,900,TIDAK,PDAM,FULL FURNISHED,880000000
389,KOTA BANDUNG,CIDADAP,APARTEMENTT,BARU,34,34,STRATA,4,1,1,1,ADA,1300,TIDAK,PDAM,FULL FURNISHED,650000000
390,KOTA BANDUNG,SUMUR BANDUNG,APARTEMENTT,BARU,143,143,SHGB,4,1,3,2,ADA,2200,TIDAK,PDAM,NON FURNISHED,4800000000
