No,Lokasi,Kecamatan,Tipe Hunian,Kondisi,Luas Tanah,Luas Bangunan,Kepemilikan,Lebar Jalan,Jumlah Lantai,Jumlah KT,Jumlah KM,Garasi,Daya Listrik,Rooftop,Sumber Air,Tipe Furnish,Harga
71,BEKASI,CIKARANG,LANDED HOUSE,BEKAS,450,700,SHM,2,2,3,2,ADA,3500,TIDAK ,PDAM,FURNISH,6000000000
72,BEKASI,MEDAN SATRIA,LANDED HOUSE,BARU,100,150,SHM,2,2,3,2,ADA,2200,TIDAK,SUMUR BOR,NON FURNISH,1600000000
73,TANGGERANG,GADING SERPONG,LANDED HOUSE,BARU,57,63,SHM,2,2,3,3,ADA,2200,TIDAK ,SUMUR BOR,NON FURNISH,650000000
74,DEPOK,SUKMAJAYA,LANDED HOUSE,BEKAS,172,170,SHM,2,1,3,2,ADA,2200,TIDAK,PDAM,FULL FURNISH,1740000000
75,DEPOK,CIMANGGIS,LANDED HOUSE,BEKAS,106,165,SHM,2,2,4,3,ADA,2200,TIDAK ,SUMUR BOR,NON FURNISH,1930000000
76,DEPOK,SA ANGAN,LANDED HOUSE,BARU,60,100,SHM,2,2,3,2,ADA,2200,TIDAK,SUMUR BOR,NON FURNISH,650000000
77,DEPOK,CITAYAM,LANDED HOUSE,BARU,90,100,SHM,2,1,4,3,ADA,2200,TIDAK ,SUMUR BOR,SEMI FURNISH,1490000000
78,KABUPATEN BANDUNG,CIMAHI,LANDED HOUSE,BARU,120,80,SHM,2,1,3,2,ADA,1300,TIDAK,SUMUR BOR,NON FURNISH,450000000
79,BANDUNG,CICENDO,APARTEMENTT,BARU,153,153,HGB,4,1,3,2,ADA,8800,TIDAK ,SUMUR BOR,SEMI FURNISH,3000000000
80,SURABAYA,PAKU ON CITY,LANDED HOUSE,BEKAS,200,250,HGB,2,2,3,3,ADA,2200,TIDAK,PDAM,NON FURNISH,3900000000
81,SURABAYA,CITRALAND,LANDED HOUSE,BARU,210,400,SHM,3,3,5,5,ADA,4400,TIDAK ,PDAM,NON FURNISH,11000000000
